,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,7,7,7,1108590,6,1
1,22,32,19,2669611,8,0
2,40,55,31,3936826,18,0
3,53,45,35,1442558,19,1
4,55,77,43,4549209,3,0
5,59,58,62,115431,13,1
6,70,99,59,4606024,11,0
7,70,103,103,181495,7,2
8,81,121,63,3280240,12,2
9,96,79,60,1848364,9,1
10,109,152,83,2127411,14,2
11,111,130,103,2444890,2,2
12,136,115,96,1896043,1,1
13,147,200,95,1021294,16,2
14,148,169,139,1784080,17,2
15,176,158,140,1935694,10,1
16,189,203,208,159358,15,2
17,197,197,203,235107,5,1
18,199,218,193,915073,0,2
19,220,205,193,1621102,4,1
